Alignment_name	Locus_type
SISRS_contig-96000001.fasta	unannotated
SISRS_contig-239000005.fasta	unannotated
SISRS_contig-2547000017.fasta	unannotated
SISRS_contig-10087000016.fasta	unannotated
SISRS_contig-12561000017.fasta	unannotated
SISRS_contig-10374000005.fasta	unannotated
SISRS_contig-1218000016.fasta	unannotated
SISRS_contig-11098000018.fasta	unannotated
SISRS_contig-11676000001.fasta	unannotated
SISRS_contig-17125000001.fasta	unannotated
SISRS_contig-12698000017.fasta	unannotated
SISRS_contig-11379000012.fasta	unannotated
SISRS_contig-15927000013.fasta	unannotated
SISRS_contig-3209000010.fasta	unannotated
SISRS_contig-673000011.fasta	unannotated
SISRS_contig-10739000000.fasta	unannotated
SISRS_contig-13834000009.fasta	unannotated
SISRS_contig-8556000013.fasta	unannotated
SISRS_contig-15409000014.fasta	unannotated
SISRS_contig-18010000000.fasta	unannotated
SISRS_contig-12952000009.fasta	unannotated
SISRS_contig-12811000014.fasta	unannotated
SISRS_contig-9309000008.fasta	unannotated
SISRS_contig-15582000001.fasta	unannotated
SISRS_contig-16030000002.fasta	unannotated
SISRS_contig-139000009.fasta	unannotated
SISRS_contig-16626000012.fasta	unannotated
SISRS_contig-15684000017.fasta	unannotated
SISRS_contig-7144000016.fasta	unannotated
SISRS_contig-2687000006.fasta	unannotated
SISRS_contig-15942000008.fasta	unannotated
SISRS_contig-14167000005.fasta	unannotated
SISRS_contig-8973000001.fasta	unannotated
SISRS_contig-9782000004.fasta	unannotated
SISRS_contig-8999000016.fasta	unannotated
SISRS_contig-3951000018.fasta	unannotated
SISRS_contig-16314000014.fasta	unannotated
SISRS_contig-7001000009.fasta	unannotated
SISRS_contig-4584000011.fasta	unannotated
SISRS_contig-17871000003.fasta	unannotated
SISRS_contig-2217000009.fasta	unannotated
SISRS_contig-2413000016.fasta	unannotated
SISRS_contig-9810000000.fasta	unannotated
SISRS_contig-13079000003.fasta	unannotated
SISRS_contig-5865000012.fasta	unannotated
SISRS_contig-5301000004.fasta	unannotated
SISRS_contig-4257000012.fasta	unannotated
SISRS_contig-9410000018.fasta	unannotated
SISRS_contig-13667000011.fasta	unannotated
SISRS_contig-7382000006.fasta	unannotated
SISRS_contig-2138000016.fasta	unannotated
SISRS_contig-9102000007.fasta	unannotated
SISRS_contig-10164000016.fasta	unannotated
SISRS_contig-8770000017.fasta	unannotated
SISRS_contig-1822000001.fasta	unannotated
SISRS_contig-11779000004.fasta	unannotated
SISRS_contig-6315000008.fasta	unannotated
SISRS_contig-8323000003.fasta	unannotated
SISRS_contig-12219000016.fasta	unannotated
SISRS_contig-13860000012.fasta	unannotated
SISRS_contig-7875000000.fasta	unannotated
SISRS_contig-16596000013.fasta	unannotated
SISRS_contig-6363000003.fasta	unannotated
SISRS_contig-13055000016.fasta	unannotated
SISRS_contig-9562000016.fasta	unannotated
SISRS_contig-15335000012.fasta	unannotated
SISRS_contig-8410000005.fasta	unannotated
SISRS_contig-12861000005.fasta	unannotated
SISRS_contig-4972000018.fasta	unannotated
SISRS_contig-17154000001.fasta	unannotated
SISRS_contig-16718000000.fasta	unannotated
SISRS_contig-11192000013.fasta	unannotated
SISRS_contig-11853000016.fasta	unannotated
SISRS_contig-11441000010.fasta	unannotated
SISRS_contig-1825000016.fasta	unannotated
SISRS_contig-11475000010.fasta	unannotated
SISRS_contig-15809000008.fasta	unannotated
SISRS_contig-14666000017.fasta	unannotated
SISRS_contig-17427000005.fasta	unannotated
SISRS_contig-11331000007.fasta	unannotated
SISRS_contig-2400000000.fasta	unannotated
