Alignment_name	Locus_type
SISRS_contig-9887000010.fasta	UTR
SISRS_contig-14771000002.fasta	UTR
SISRS_contig-3171000019.fasta	UTR
SISRS_contig-12688000016.fasta	UTR
SISRS_contig-810000011.fasta	UTR
SISRS_contig-1249000019.fasta	UTR
SISRS_contig-14485000003.fasta	UTR
SISRS_contig-176000004.fasta	UTR
SISRS_contig-10000009.fasta	UTR
SISRS_contig-9102000014.fasta	UTR
SISRS_contig-1404000005.fasta	UTR
SISRS_contig-10509000017.fasta	UTR
SISRS_contig-11750000019.fasta	UTR
SISRS_contig-908000008.fasta	UTR
SISRS_contig-5760000012.fasta	UTR
SISRS_contig-1582000000.fasta	UTR
SISRS_contig-690000015.fasta	UTR
SISRS_contig-270000013.fasta	UTR
SISRS_contig-11007000008.fasta	UTR
SISRS_contig-12867000000.fasta	UTR
SISRS_contig-13594000003.fasta	UTR
SISRS_contig-15093000012.fasta	UTR
SISRS_contig-8453000015.fasta	UTR
SISRS_contig-4218000013.fasta	UTR
SISRS_contig-9955000004.fasta	UTR
SISRS_contig-3481000001.fasta	UTR
SISRS_contig-13143000018.fasta	UTR
SISRS_contig-3554000010.fasta	UTR
SISRS_contig-11164000015.fasta	UTR
SISRS_contig-4847000000.fasta	UTR
SISRS_contig-17645000012.fasta	UTR
SISRS_contig-8117000017.fasta	UTR
SISRS_contig-13303000009.fasta	UTR
SISRS_contig-1107000012.fasta	UTR
SISRS_contig-601000001.fasta	UTR
SISRS_contig-3769000000.fasta	UTR
SISRS_contig-13748000005.fasta	UTR
SISRS_contig-16187000005.fasta	UTR
SISRS_contig-9336000003.fasta	UTR
SISRS_contig-410000013.fasta	UTR
SISRS_contig-13404000000.fasta	UTR
SISRS_contig-12853000002.fasta	UTR
SISRS_contig-5750000010.fasta	UTR
SISRS_contig-1200000019.fasta	UTR
SISRS_contig-3581000015.fasta	UTR
SISRS_contig-1983000004.fasta	UTR
SISRS_contig-10232000000.fasta	UTR
SISRS_contig-2047000015.fasta	UTR
SISRS_contig-12840000018.fasta	UTR
SISRS_contig-8493000014.fasta	UTR
SISRS_contig-14580000018.fasta	UTR
SISRS_contig-8748000009.fasta	UTR
SISRS_contig-3127000019.fasta	UTR
SISRS_contig-10175000019.fasta	UTR
SISRS_contig-905000018.fasta	UTR
SISRS_contig-897000005.fasta	UTR
SISRS_contig-17354000010.fasta	UTR
SISRS_contig-12484000012.fasta	UTR
SISRS_contig-8288000005.fasta	UTR
SISRS_contig-8141000010.fasta	UTR
SISRS_contig-7975000016.fasta	UTR
SISRS_contig-9361000009.fasta	UTR
SISRS_contig-12075000017.fasta	UTR
SISRS_contig-719000005.fasta	UTR
SISRS_contig-11336000006.fasta	UTR
SISRS_contig-8756000002.fasta	UTR
SISRS_contig-1776000006.fasta	UTR
SISRS_contig-16916000011.fasta	UTR
SISRS_contig-838000011.fasta	UTR
SISRS_contig-7821000009.fasta	UTR
SISRS_contig-4536000004.fasta	UTR
SISRS_contig-511000019.fasta	UTR
SISRS_contig-4741000003.fasta	UTR
SISRS_contig-10053000004.fasta	UTR
SISRS_contig-5127000016.fasta	UTR
SISRS_contig-1352000014.fasta	UTR
SISRS_contig-9264000009.fasta	UTR
SISRS_contig-12703000002.fasta	UTR
SISRS_contig-3098000002.fasta	UTR
