Alignment_name	Locus_type
SISRS_contig-15163000016.fasta	other
SISRS_contig-13558000002.fasta	other
SISRS_contig-796000014.fasta	other
SISRS_contig-271000006.fasta	other
SISRS_contig-6063000005.fasta	other
SISRS_contig-14462000010.fasta	other
SISRS_contig-4539000008.fasta	other
SISRS_contig-348000014.fasta	other
SISRS_contig-10314000011.fasta	other
SISRS_contig-17581000014.fasta	other
SISRS_contig-2622000008.fasta	other
SISRS_contig-12000011.fasta	other
SISRS_contig-8849000006.fasta	other
SISRS_contig-3717000003.fasta	other
SISRS_contig-830000014.fasta	other
SISRS_contig-552000012.fasta	other
SISRS_contig-2991000007.fasta	other
SISRS_contig-14819000008.fasta	other
SISRS_contig-1789000017.fasta	other
SISRS_contig-2136000018.fasta	other
SISRS_contig-13187000015.fasta	other
SISRS_contig-4874000013.fasta	other
SISRS_contig-1947000001.fasta	other
SISRS_contig-7458000017.fasta	other
SISRS_contig-15830000007.fasta	other
SISRS_contig-12333000017.fasta	other
SISRS_contig-6027000018.fasta	other
SISRS_contig-12208000005.fasta	other
SISRS_contig-10200000015.fasta	other
SISRS_contig-6129000003.fasta	other
SISRS_contig-12226000017.fasta	other
SISRS_contig-14175000006.fasta	other
SISRS_contig-8888000012.fasta	other
SISRS_contig-3060000013.fasta	other
SISRS_contig-17260000010.fasta	other
SISRS_contig-3984000019.fasta	other
SISRS_contig-665000007.fasta	other
SISRS_contig-697000003.fasta	other
SISRS_contig-1142000006.fasta	other
SISRS_contig-6801000004.fasta	other
SISRS_contig-4472000010.fasta	other
SISRS_contig-10621000015.fasta	other
SISRS_contig-3869000010.fasta	other
SISRS_contig-12038000002.fasta	other
SISRS_contig-155000008.fasta	other
SISRS_contig-316000017.fasta	other
SISRS_contig-11507000004.fasta	other
SISRS_contig-9348000002.fasta	other
SISRS_contig-8639000006.fasta	other
SISRS_contig-11116000018.fasta	other
SISRS_contig-5169000002.fasta	other
SISRS_contig-1032000000.fasta	other
SISRS_contig-3824000003.fasta	other
SISRS_contig-12883000005.fasta	other
SISRS_contig-5135000019.fasta	other
SISRS_contig-349000006.fasta	other
SISRS_contig-1211000011.fasta	other
SISRS_contig-12359000014.fasta	other
SISRS_contig-406000015.fasta	other
SISRS_contig-10420000012.fasta	other
SISRS_contig-14473000016.fasta	other
SISRS_contig-8159000008.fasta	other
SISRS_contig-9384000003.fasta	other
SISRS_contig-1870000006.fasta	other
SISRS_contig-3456000016.fasta	other
SISRS_contig-8734000002.fasta	other
SISRS_contig-14696000000.fasta	other
SISRS_contig-2176000009.fasta	other
SISRS_contig-5740000012.fasta	other
SISRS_contig-15927000003.fasta	other
SISRS_contig-5671000012.fasta	other
SISRS_contig-5959000005.fasta	other
SISRS_contig-3123000008.fasta	other
SISRS_contig-10922000015.fasta	other
SISRS_contig-14701000003.fasta	other
SISRS_contig-482000001.fasta	other
SISRS_contig-6484000005.fasta	other
SISRS_contig-182000003.fasta	other
SISRS_contig-1970000005.fasta	other
SISRS_contig-3093000013.fasta	other
SISRS_contig-5146000010.fasta	other
SISRS_contig-17007000013.fasta	other
SISRS_contig-2970000006.fasta	other
SISRS_contig-5660000004.fasta	other
SISRS_contig-2071000016.fasta	other
SISRS_contig-3128000001.fasta	other
SISRS_contig-1278000001.fasta	other
SISRS_contig-1763000006.fasta	other
SISRS_contig-16892000001.fasta	other
SISRS_contig-11281000016.fasta	other
SISRS_contig-8956000006.fasta	other
SISRS_contig-870000002.fasta	other
SISRS_contig-224000003.fasta	other
SISRS_contig-8249000013.fasta	other
SISRS_contig-3776000003.fasta	other
SISRS_contig-10337000012.fasta	other
SISRS_contig-14764000013.fasta	other
SISRS_contig-14355000013.fasta	other
SISRS_contig-3321000019.fasta	other
SISRS_contig-10002000015.fasta	other
SISRS_contig-3689000012.fasta	other
SISRS_contig-5748000015.fasta	other
SISRS_contig-3159000015.fasta	other
SISRS_contig-15543000004.fasta	other
SISRS_contig-16919000016.fasta	other
SISRS_contig-17573000008.fasta	other
SISRS_contig-14204000000.fasta	other
SISRS_contig-2056000004.fasta	other
SISRS_contig-8943000019.fasta	other
SISRS_contig-3593000001.fasta	other
SISRS_contig-9629000019.fasta	other
SISRS_contig-2088000008.fasta	other
SISRS_contig-8014000011.fasta	other
SISRS_contig-6603000017.fasta	other
SISRS_contig-2827000005.fasta	other
SISRS_contig-9126000015.fasta	other
SISRS_contig-12414000013.fasta	other
SISRS_contig-8682000017.fasta	other
SISRS_contig-7243000012.fasta	other
SISRS_contig-2198000014.fasta	other
SISRS_contig-14539000015.fasta	other
SISRS_contig-8059000012.fasta	other
SISRS_contig-10876000008.fasta	other
SISRS_contig-13889000015.fasta	other
SISRS_contig-892000006.fasta	other
SISRS_contig-842000012.fasta	other
SISRS_contig-859000010.fasta	other
SISRS_contig-13285000014.fasta	other
SISRS_contig-6111000014.fasta	other
SISRS_contig-3962000013.fasta	other
SISRS_contig-651000003.fasta	other
SISRS_contig-10570000011.fasta	other
SISRS_contig-2721000011.fasta	other
SISRS_contig-12534000013.fasta	other
SISRS_contig-8525000017.fasta	other
SISRS_contig-8561000012.fasta	other
SISRS_contig-5587000002.fasta	other
SISRS_contig-11572000002.fasta	other
SISRS_contig-8478000014.fasta	other
SISRS_contig-1339000015.fasta	other
SISRS_contig-14943000018.fasta	other
SISRS_contig-17287000006.fasta	other
SISRS_contig-14250000013.fasta	other
SISRS_contig-15231000019.fasta	other
SISRS_contig-6007000002.fasta	other
SISRS_contig-15653000004.fasta	other
SISRS_contig-4636000000.fasta	other
SISRS_contig-2683000006.fasta	other
SISRS_contig-17718000009.fasta	other
SISRS_contig-4544000007.fasta	other
SISRS_contig-11017000003.fasta	other
SISRS_contig-13099000004.fasta	other
SISRS_contig-2129000012.fasta	other
SISRS_contig-14510000009.fasta	other
SISRS_contig-8475000016.fasta	other
SISRS_contig-14236000013.fasta	other
SISRS_contig-2422000016.fasta	other
SISRS_contig-1615000006.fasta	other
SISRS_contig-2061000008.fasta	other
SISRS_contig-17745000006.fasta	other
SISRS_contig-584000016.fasta	other
SISRS_contig-3138000003.fasta	other
SISRS_contig-9133000000.fasta	other
SISRS_contig-12829000012.fasta	other
SISRS_contig-10280000010.fasta	other
SISRS_contig-3735000005.fasta	other
SISRS_contig-11961000001.fasta	other
SISRS_contig-16710000017.fasta	other
SISRS_contig-4118000017.fasta	other
SISRS_contig-8142000017.fasta	other
SISRS_contig-5023000019.fasta	other
SISRS_contig-15993000006.fasta	other
SISRS_contig-10441000017.fasta	other
SISRS_contig-11328000000.fasta	other
SISRS_contig-1584000006.fasta	other
SISRS_contig-3247000018.fasta	other
SISRS_contig-13641000016.fasta	other
SISRS_contig-152000009.fasta	other
SISRS_contig-15712000003.fasta	other
SISRS_contig-13872000010.fasta	other
SISRS_contig-2956000010.fasta	other
SISRS_contig-14959000015.fasta	other
SISRS_contig-10588000009.fasta	other
SISRS_contig-12324000019.fasta	other
SISRS_contig-708000011.fasta	other
SISRS_contig-508000000.fasta	other
SISRS_contig-8873000011.fasta	other
SISRS_contig-2207000004.fasta	other
SISRS_contig-4237000018.fasta	other
SISRS_contig-13290000016.fasta	other
SISRS_contig-9776000005.fasta	other
SISRS_contig-13935000014.fasta	other
SISRS_contig-7595000000.fasta	other
SISRS_contig-14755000011.fasta	other
SISRS_contig-11775000006.fasta	other
SISRS_contig-2964000005.fasta	other
SISRS_contig-17893000005.fasta	other
SISRS_contig-8628000015.fasta	other
SISRS_contig-5027000001.fasta	other
SISRS_contig-14769000013.fasta	other
SISRS_contig-1829000008.fasta	other
SISRS_contig-1683000005.fasta	other
SISRS_contig-9307000015.fasta	other
SISRS_contig-6081000001.fasta	other
SISRS_contig-13178000005.fasta	other
SISRS_contig-5288000008.fasta	other
SISRS_contig-2973000017.fasta	other
SISRS_contig-11942000011.fasta	other
SISRS_contig-6069000014.fasta	other
SISRS_contig-5990000012.fasta	other
SISRS_contig-17917000003.fasta	other
SISRS_contig-10275000009.fasta	other
SISRS_contig-4461000017.fasta	other
SISRS_contig-1308000010.fasta	other
SISRS_contig-548000002.fasta	other
SISRS_contig-516000012.fasta	other
SISRS_contig-8063000011.fasta	other
SISRS_contig-9961000010.fasta	other
SISRS_contig-12988000010.fasta	other
SISRS_contig-9854000014.fasta	other
SISRS_contig-1375000002.fasta	other
SISRS_contig-4989000009.fasta	other
SISRS_contig-13107000007.fasta	other
SISRS_contig-16843000010.fasta	other
SISRS_contig-3827000010.fasta	other
SISRS_contig-5107000004.fasta	other
SISRS_contig-16289000018.fasta	other
SISRS_contig-2077000018.fasta	other
SISRS_contig-3298000019.fasta	other
SISRS_contig-13616000010.fasta	other
SISRS_contig-15789000001.fasta	other
SISRS_contig-14891000001.fasta	other
SISRS_contig-10335000005.fasta	other
SISRS_contig-8744000012.fasta	other
SISRS_contig-12823000019.fasta	other
SISRS_contig-2774000012.fasta	other
SISRS_contig-15422000014.fasta	other
SISRS_contig-8436000010.fasta	other
SISRS_contig-678000008.fasta	other
SISRS_contig-344000013.fasta	other
SISRS_contig-10033000005.fasta	other
SISRS_contig-3183000000.fasta	other
SISRS_contig-2300000001.fasta	other
SISRS_contig-60000013.fasta	other
SISRS_contig-13798000016.fasta	other
SISRS_contig-17282000011.fasta	other
SISRS_contig-677000001.fasta	other
SISRS_contig-11417000013.fasta	other
SISRS_contig-958000015.fasta	other
SISRS_contig-12435000012.fasta	other
SISRS_contig-1252000005.fasta	other
SISRS_contig-7895000011.fasta	other
SISRS_contig-15866000004.fasta	other
SISRS_contig-7842000011.fasta	other
SISRS_contig-6211000018.fasta	other
SISRS_contig-5490000004.fasta	other
SISRS_contig-1285000014.fasta	other
SISRS_contig-8740000018.fasta	other
SISRS_contig-11616000016.fasta	other
SISRS_contig-15112000001.fasta	other
SISRS_contig-7070000017.fasta	other
SISRS_contig-11163000010.fasta	other
SISRS_contig-1512000010.fasta	other
SISRS_contig-13777000012.fasta	other
SISRS_contig-6515000015.fasta	other
SISRS_contig-10501000015.fasta	other
SISRS_contig-2500000000.fasta	other
SISRS_contig-12856000006.fasta	other
SISRS_contig-2500000014.fasta	other
SISRS_contig-16237000001.fasta	other
SISRS_contig-1785000014.fasta	other
SISRS_contig-3612000006.fasta	other
SISRS_contig-9156000015.fasta	other
SISRS_contig-14047000003.fasta	other
SISRS_contig-1026000018.fasta	other
SISRS_contig-15371000013.fasta	other
SISRS_contig-17183000009.fasta	other
SISRS_contig-8137000000.fasta	other
SISRS_contig-617000009.fasta	other
SISRS_contig-3559000004.fasta	other
SISRS_contig-2599000019.fasta	other
SISRS_contig-11830000014.fasta	other
SISRS_contig-816000012.fasta	other
SISRS_contig-2809000013.fasta	other
SISRS_contig-1061000017.fasta	other
SISRS_contig-848000000.fasta	other
SISRS_contig-2797000014.fasta	other
SISRS_contig-8652000000.fasta	other
SISRS_contig-15274000009.fasta	other
SISRS_contig-16831000007.fasta	other
SISRS_contig-17411000016.fasta	other
SISRS_contig-1899000015.fasta	other
SISRS_contig-13259000005.fasta	other
SISRS_contig-6868000014.fasta	other
SISRS_contig-14463000011.fasta	other
SISRS_contig-16747000016.fasta	other
SISRS_contig-8510000001.fasta	other
SISRS_contig-15515000018.fasta	other
SISRS_contig-9864000009.fasta	other
SISRS_contig-3391000006.fasta	other
SISRS_contig-11567000005.fasta	other
SISRS_contig-9723000019.fasta	other
SISRS_contig-13871000013.fasta	other
SISRS_contig-4202000004.fasta	other
SISRS_contig-15279000011.fasta	other
SISRS_contig-13284000008.fasta	other
SISRS_contig-11957000018.fasta	other
SISRS_contig-2829000011.fasta	other
SISRS_contig-11612000008.fasta	other
SISRS_contig-16261000009.fasta	other
SISRS_contig-11269000017.fasta	other
SISRS_contig-1583000008.fasta	other
SISRS_contig-11667000001.fasta	other
SISRS_contig-4078000016.fasta	other
SISRS_contig-4172000003.fasta	other
SISRS_contig-14018000009.fasta	other
SISRS_contig-11025000008.fasta	other
SISRS_contig-11153000017.fasta	other
SISRS_contig-1675000008.fasta	other
SISRS_contig-11630000009.fasta	other
SISRS_contig-2431000007.fasta	other
SISRS_contig-15914000012.fasta	other
SISRS_contig-13042000008.fasta	other
SISRS_contig-5128000011.fasta	other
SISRS_contig-5381000001.fasta	other
SISRS_contig-17489000014.fasta	other
SISRS_contig-8431000010.fasta	other
SISRS_contig-13566000012.fasta	other
SISRS_contig-2731000000.fasta	other
SISRS_contig-10976000010.fasta	other
SISRS_contig-11499000001.fasta	other
SISRS_contig-17228000010.fasta	other
SISRS_contig-2154000017.fasta	other
SISRS_contig-11532000018.fasta	other
SISRS_contig-11431000001.fasta	other
SISRS_contig-1702000012.fasta	other
SISRS_contig-9246000014.fasta	other
SISRS_contig-15962000011.fasta	other
SISRS_contig-14660000003.fasta	other
SISRS_contig-9432000019.fasta	other
SISRS_contig-960000017.fasta	other
SISRS_contig-14201000009.fasta	other
SISRS_contig-10127000000.fasta	other
SISRS_contig-2684000014.fasta	other
SISRS_contig-8176000010.fasta	other
SISRS_contig-11273000009.fasta	other
SISRS_contig-7597000005.fasta	other
SISRS_contig-7840000000.fasta	other
SISRS_contig-6780000004.fasta	other
SISRS_contig-11570000008.fasta	other
SISRS_contig-12230000003.fasta	other
SISRS_contig-5585000012.fasta	other
SISRS_contig-4559000009.fasta	other
SISRS_contig-10078000000.fasta	other
SISRS_contig-12905000001.fasta	other
SISRS_contig-102000019.fasta	other
SISRS_contig-364000016.fasta	other
SISRS_contig-909000008.fasta	other
SISRS_contig-1203000003.fasta	other
SISRS_contig-14065000014.fasta	other
SISRS_contig-4803000017.fasta	other
SISRS_contig-13379000001.fasta	other
SISRS_contig-11802000000.fasta	other
SISRS_contig-15169000012.fasta	other
SISRS_contig-1151000013.fasta	other
SISRS_contig-5429000007.fasta	other
SISRS_contig-9368000006.fasta	other
SISRS_contig-16943000010.fasta	other
SISRS_contig-918000002.fasta	other
SISRS_contig-1003000006.fasta	other
SISRS_contig-13696000012.fasta	other
SISRS_contig-14162000010.fasta	other
SISRS_contig-12361000012.fasta	other
SISRS_contig-14031000014.fasta	other
SISRS_contig-3229000002.fasta	other
SISRS_contig-9905000003.fasta	other
SISRS_contig-1095000007.fasta	other
SISRS_contig-1300000002.fasta	other
SISRS_contig-6872000003.fasta	other
SISRS_contig-5947000001.fasta	other
SISRS_contig-14104000016.fasta	other
SISRS_contig-6580000013.fasta	other
SISRS_contig-364000013.fasta	other
SISRS_contig-5031000016.fasta	other
